user_id,game,,,,
1591962,wot,,,,
12585874,wot_wowp,,,,
34681222,wot_wowp,,,,
118382893,wotb,,,,
7357824,wot_wowp,,,,
56404,wows,,,,
1873591,wot,,,,
1565356,wot,,,,
118387861,wotb,,,,
118388028,wotb,,,,
126471,wot,,,,
8022807,wot_wowp,,,,
1340510,wot,,,,
118394696,wotb,,,,
118380589,wotb,,,,
118379307,wotb,,,,
15287271,wot_wowp,,,,
118372071,wotb,,,,
118380335,wotb,,,,
118374333,wotb,,,,
1507545,wot,,,,
118371195,wotb,,,,
93060,wows,,,,
17669591,wot_wowp,,,,
118371356,wotb,,,,
95819,wows,,,,
216569,wot,,,,
118405878,wotb,,,,
118377959,wotb,,,,
784445,wot,,,,
59714269,wot_wowp,,,,
69939,wows,,,,
118382399,wotb,,,,
115467,wows,,,,
118380977,wotb,,,,
671782,wot,,,,
1572801,wot,,,,
543989,wot,,,,
118375641,wotb,,,,
1843212,wot,,,,
118404966,wotb,,,,
700598,wot,,,,
11373,wows,,,,
741166,wot,,,,
118377466,wotb,,,,
118384610,wotb,,,,
118406662,wotb,,,,
115010580,wot_wowp,,,,
118396982,wotb,,,,
118398961,wotb,,,,
161855,wows,,,,
35166151,wot_wowp,,,,
109805538,wot_wowp,,,,
24719,wows,,,,
118374470,wotb,,,,
896774,wot,,,,
1784523,wot,,,,
118398680,wotb,,,,
118369482,wotb,,,,
24142927,wot_wowp,,,,
3059490,wot_wowp,,,,
35124500,wot_wowp,,,,
26651,wows,,,,
118411623,wotb,,,,
118394946,wotb,,,,
1401630ё,wot,,,,
40608828,wot_wowp,,,,
60057723,wot_wowp,,,,
27333864,wot_wowp,,,,
118378494,wotb,,,,
16835149,wot_wowp,,,,
1321230,wot,,,,
11783,wows,,,,
1322441,wot,,,,
1415900,wot,,,,
694327,wot,,,,
118406202,wotb,,,,
118409622,wotb,,,,
118411045,wotb,,,,
118410231,wotb,,,,
118374207,wotb,,,,
118373421,wotb,,,,
45916,wows,,,,
118412192,wotb,,,,
118378103,wotb,,,,
120952,wot,,,,
118411488,wotb,,,,
118409452,wotb,,,,
765223,wot,,,,
1673589,wot,,,,
118368847,wotb,,,,
118393219,wotb,,,,
118369092,wotb,,,,
2046839,wot,,,,
21165,wows,,,,
315685,wot,,,,
118412249,wotb,,,,
49966,wot,,,,
88693,wot,,,,
118411827,wotb,,,,
140629,wows,,,,
1323117,wot,,,,
154725,wows,,,,
118389991,wotb,,,,
118368581,wotb,,,,
2078351,wot,,,,
118408391,wotb,,,,
118378779,wotb,,,,
118385339,wotb,,,,
794358,wot,,,,
118413748,wotb,,,,
118370215,wotb,,,,
1496375,wot,,,,
64299,wot,,,,
72544,wot,,,,
387845,wot,,,,
293820,wot,,,,
23504462,wot_wowp,,,,
118377250,wotb,,,,
118396736,wotb,,,,
46375421,wot_wowp,,,,
2067062,wot,,,,
11961633,wot_wowp,,,,
118389331,wotb,,,,
118369546,wotb,,,,
1087657,wot,,,,
4699744,wot_wowp,,,,
15080283,wot_wowp,,,,
118410362,wotb,,,,
1489243,wot,,,,
118398527,wotb,,,,
1448347,wot,,,,
1218108,wot,,,,
1474413,wot,,,,
118414094,wotb,,,,
118386193,wotb,,,,
2978323,wot_wowp,,,,
118368926,wotb,,,,
110893301,wot_wowp,,,,
1462,wows,,,,
118401552,wotb,,,,
118391583,wotb,,,,
892041,wot,,,,
118411155,wotb,,,,
106802129,wot_wowp,,,,
118377605,wotb,,,,
602731,wot,,,,
118382059,wotb,,,,
118364643,wotb,,,,
26093,wows,,,,
216094,wot_wowp,,,,
118403405,wotb,,,,
118375138,wotb,,,,
61139,wows,,,,
118394572,wotb,,,,
118401425,wotb,,,,
118371963,wotb,,,,
16249100,wot_wowp,,,,
118365143,wotb,,,,
12868922,wot_wowp,,,,
848028,wot,,,,
1891794,wot,,,,
32929,wows,,,,
118394115,wotb,,,,
2046127,wot,,,,
1316527,wot,,,,
118381829,wotb,,,,
716377,wot,,,,
1405219,wot,,,,
118381811,wotb,,,,
24222,wows,,,,
118404589,wotb,,,,
1165799,wot,,,,
15116027,wot_wowp,,,,
118401028,wotb,,,,
1330446,wot,,,,
1357075,wot,,,,
146720,wows,,,,
47166,wows,,,,
89914614,wot_wowp,,,,
588045,wot,,,,
128767,wows,,,,
5833805,wot_wowp,,,,
510259,wot,,,,
118402458,wotb,,,,
118366930,wotb,,,,
24094490,wot_wowp,,,,
26215753,wot_wowp,,,,
118394037,wotb,,,,
979616,wot,,,,
118371320,wotb,,,,
118405052,wotb,,,,
73923,wows,,,,
3882288,wot_wowp,,,,
138456,wows,,,,
118394107,wotb,,,,
118376470,wotb,,,,
118406321,wotb,,,,
118367844,wotb,,,,
118368422,wotb,,,,
118386090,wotb,,,,
118387516,wotb,,,,
118407442,wotb,,,,
55240,wows,,,,
118366616,wotb,,,,
1565867,wot,,,,
118366275,wotb,,,,
3397553,wot_wowp,,,,
26046428,wot_wowp,,,,
118404951,wotb,,,,
67468220,wot_wowp,,,,
578184,wot,,,,
118364219,wotb,,,,
20378472,wot_wowp,,,,
411009,wot,,,,
128477,wows,,,,
38725,wows,,,,
1695111,wot,,,,
118378714,wotb,,,,
118371284,wotb,,,,
118383993,wotb,,,,
118392599,wotb,,,,
5339213,wot_wowp,,,,
868365,wot,,,,
1421761,wot,,,,
118390910,wotb,,,,
118402823,wotb,,,,
46020,wows,,,,
15063807,wot_wowp,,,,
118382916,wotb,,,,
128775,wot,,,,
118391390,wotb,,,,
134561,wows,,,,
1061930,wot,,,,
2337784,wot_wowp,,,,
411016,wot,,,,
118380593,wotb,,,,
548,wows,,,,
118401136,wotb,,,,
367128,wot,,,,
8125295,wot_wowp,,,,
118391593,wotb,,,,
118404129,wotb,,,,
12805106,wot_wowp,,,,
118376840,wotb,,,,
1656610,wot,,,,
118410292,wotb,,,,
1973332,wot,,,,
118408688,wotb,,,,
1072266,wot,,,,
118392758,wotb,,,,
118413988,wotb,,,,
118410481,wotb,,,,
3454878,wot_wowp,,,,
945350,wot_wowp,,,,
2806,wows,,,,
90788,wows,,,,
2169873,wot_wowp,,,,
118373714,wotb,,,,
65014,wows,,,,
118385182,wotb,,,,
118386831,wotb,,,,
7694498,wot_wowp,,,,
168683,wows,,,,
69219,wot,,,,
1008814,wot,,,,
24572718,wot_wowp,,,,
118413504,wotb,,,,
118406659,wotb,,,,
15869668,wot_wowp,,,,
118373349,wotb,,,,
14199634,wot_wowp,,,,
118401035,wotb,,,,
80516,wows,,,,
53546,wows,,,,
118411427,wotb,,,,
118378810,wotb,,,,
33778410,wot_wowp,,,,
281691,wot,,,,
118380905,wotb,,,,
118397186,wotb,,,,
118369702,wotb,,,,
118405638,wotb,,,,
468505,wot_wowp,,,,
1352100,wot,,,,
40229465,wot_wowp,,,,
1553878,wot,,,,
39848528,wot_wowp,,,,
37340162,wot_wowp,,,,
118403440,wotb,,,,
118367499,wotb,,,,
118411276,wotb,,,,
118409502,wotb,,,,
118378673,wotb,,,,
118401250,wotb,,,,
988985,wot,,,,
2026568,wot,,,,
19225500,wot_wowp,,,,
1359853,wot,,,,
2080279,wot_wowp,,,,
1886651,wot,,,,
118369436,wotb,,,,
118396630,wotb,,,,
6694272,wot_wowp,,,,
970837,wot,,,,
1218105,wot,,,,
118383226,wotb,,,,
1043882,wot,,,,
38731153,wot_wowp,,,,
118380820,wotb,,,,
656680,wot,,,,
7359289,wot_wowp,,,,
6982,wows,,,,
8701631,wot_wowp,,,,
118394299,wotb,,,,
360825,wot,,,,
118366547,wotb,,,,
157190,wows,,,,
118379057,wotb,,,,
118403844,wotb,,,,
118379602,wotb,,,,
1148180,wot,,,,
118399934,wotb,,,,
940690,wot,,,,
118375934,wotb,,,,
1640113,wot,,,,
56114,wows,,,,
2787489,wot_wowp,,,,
118370103,wotb,,,,
118398381,wotb,,,,
118368045,wotb,,,,
118394781,wotb,,,,
118391405,wotb,,,,
118394441,wotb,,,,
118374922,wotb,,,,
